1,F,21,1,48067,1,123456
2,M,56,2,70072,2,123456
3,M,25,1,55117,3,123456
4,M,45,2,2460,4,123456
5,M,25,1,55455,5,123456
6,F,50,2,55117,6,123456
7,M,35,2,6810,7,123456
8,M,25,1,11413,8,123456
9,M,25,1,61614,9,123456
10,F,35,2,95370,10,123456
11,F,25,2,4093,11,123456
12,M,25,1,32793,12,123456
13,M,45,2,93304,13,123456
14,M,35,2,60126,14,123456
15,M,25,2,22903,15,123456
16,F,35,2,20670,16,123456
17,M,50,2,95350,17,123456
18,F,18,1,95825,18,123456
19,M,21,1,48073,19,123456
20,M,25,2,55113,20,123456
21,M,18,2,99353,21,123456
22,M,18,1,53706,22,123456
23,M,35,2,90049,23,123456
24,F,25,2,10023,24,123456
25,M,18,1,1609,25,123456
26,M,25,2,23112,26,123456
27,M,25,1,19130,27,123456
28,F,25,2,14607,28,123456
29,M,35,2,33407,29,123456
30,F,35,2,19143,30,123456
31,M,56,2,6840,31,123456
32,F,25,2,19355,32,123456
33,M,45,1,55421,33,123456
34,F,18,2,2135,34,123456
35,M,45,2,2482,35,123456
36,M,25,1,94123,36,123456
37,F,25,2,66212,37,123456
38,F,18,1,2215,38,123456
39,M,18,1,61820,39,123456
40,M,45,2,10543,40,123456
41,F,18,1,15116,41,123456
42,M,25,1,24502,42,123456
43,M,25,1,60614,43,123456
44,M,45,1,98052,44,123456
45,F,45,2,94110,45,123456
46,M,18,1,75602,46,123456
47,M,18,1,94305,47,123456
48,M,25,1,92107,48,123456
49,M,18,1,77084,49,123456
50,F,25,2,98133,50,123456
51,F,21,1,10562,51,123456
52,M,18,1,72212,52,123456
53,M,25,2,96931,53,123456
54,M,50,2,56723,54,123456
55,F,35,1,55303,55,123456
56,M,35,1,60440,56,123456
57,M,18,1,30350,57,123456
58,M,25,2,30303,58,123456
59,F,50,2,55413,59,123456
60,M,50,2,72118,60,123456
61,M,25,1,95122,61,123456
62,F,35,1,98105,62,123456
63,M,18,1,54902,63,123456
64,M,18,2,53706,64,123456
65,M,35,1,55803,65,123456
66,M,25,1,57706,66,123456
67,F,50,1,60181,67,123456
68,M,18,1,53706,68,123456
69,F,25,2,2143,69,123456
70,M,18,1,53703,70,123456
71,M,25,2,95008,71,123456
72,F,45,2,55122,72,123456
73,M,18,1,53706,73,123456
74,M,35,2,94530,74,123456
75,F,21,1,1748,75,123456
76,M,35,2,55413,76,123456
77,M,18,1,15321,77,123456
78,F,45,2,98029,78,123456
79,F,45,2,98103,79,123456
80,M,56,2,49327,80,123456
81,F,25,2,60640,81,123456
82,M,25,1,48380,82,123456
83,F,25,2,94609,83,123456
84,M,18,1,53140,84,123456
85,M,18,1,94945,85,123456
86,F,21,1,54467,86,123456
87,M,25,2,48360,87,123456
88,F,45,2,2476,88,123456
89,F,56,2,85749,89,123456
90,M,56,2,85749,90,123456
91,M,35,2,7650,91,123456
92,F,18,1,44243,92,123456
93,M,25,1,95825,93,123456
94,M,25,1,28601,94,123456
95,M,45,2,98201,95,123456
96,F,25,2,78028,96,123456
97,F,35,1,66210,97,123456
98,F,35,2,33547,98,123456
99,F,21,1,19390,99,123456
100,M,35,1,95401,100,123456
101,F,18,1,33314,101,123456
102,M,35,1,20871,102,123456
103,M,45,2,92104,103,123456
